Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,Cost of Squad
1,MCI,10,8,2,0,27,3,24,26,866.16
2,LIV,10,8,2,0,20,4,16,26,625.66
3,CHE,10,7,3,0,24,7,17,24,597.26
4,ARS,10,7,1,2,24,13,11,22,379.83
5,TOT,10,7,0,3,16,8,8,21,348.77
6,BOU,10,6,2,2,19,12,7,20,130.56
7,WAT,10,6,1,3,16,12,4,19,149.21
8,MUN,10,5,2,3,17,17,0,17,697.54
9,EVE,10,4,3,3,16,14,2,15,341.67
10,WOL,10,4,3,3,9,9,0,15,111.91
11,BHA,10,4,2,4,11,13,-2,14,137.66
12,LEI,10,4,1,5,16,16,0,13,244.94
13,WHU,10,2,2,6,9,15,-6,8,213.15
14,CRY,10,2,2,6,7,13,-6,8,201.61
15,BUR,10,2,2,6,10,21,-11,8,111.91
16,SOU,10,1,4,5,6,14,-8,7,222.92
17,CAR,10,1,2,7,9,23,-14,5,52.4
18,FUL,10,1,2,7,11,28,-17,5,148.32
19,NEW,10,0,3,7,6,14,-8,3,119.91
20,HUD,10,0,3,7,4,21,-17,3,97.69
